,cidade,bairro,estado,tipo_imovel,m2,quartos,suites,banheiros,vagas,preco
573, Balneário Camboriú ,Barra Norte , SC,Apartamento,130.75,4,2,3,2,2700000.0
574, Balneário Camboriú ,Centro , SC,Apartamento,130.45,3,3,3,3,2600000.0
575, Balneário Camboriú ,Centro , SC,Apartamento,143.0,3,3,3,2,2685000.0
576, Balneário Camboriú ,Centro , SC,Apartamento,143.18,4,2,3,2,2761000.0
577, Balneário Camboriú ,Centro , SC,Apartamento,121.5,3,1,2,2,1850000.0
578, Balneário Camboriú ,Centro , SC,Apartamento,146.0,4,2,3,3,2850000.0
579, Balneário Camboriú ,Centro , SC,Apartamento,122.7,3,3,3,3,2600000.0
580, Balneário Camboriú ,Centro , SC,Apartamento,143.48,4,4,4,3,2550000.0
581, Balneário Camboriú ,Barra Sul , SC,Apartamento,120.54,3,3,3,2,2500000.0
582, Balneário Camboriú ,Centro , SC,Apartamento,136.0,4,4,4,3,2021000.0
583, Camboriú ,Santa Regina , SC,Casa,233.02,3,3,3,5,2500000.0
584, Balneário Camboriú ,Centro , SC,Cobertura,240.0,4,4,4,3,3950000.0
585, Balneário Camboriú ,Barra Sul , SC,Apartamento,277.0,4,4,4,3,5250000.0
586, Balneário Camboriú ,Barra Norte , SC,Apartamento,165.0,3,3,3,3,7500000.0
587, Balneário Camboriú ,Centro , SC,Apartamento,159.0,4,4,4,4,2150000.0
588, Balneário Camboriú ,Barra Norte , SC,Apartamento,165.0,3,3,3,3,7500000.0
589, Balneário Camboriú ,Barra Sul , SC,Apartamento,220.79,4,4,4,3,5450000.0
590, Balneário Camboriú ,Barra Norte , SC,Apartamento,146.34,4,4,4,3,2400000.0
592, Balneário Camboriú ,Centro , SC,Apartamento,139.16,3,3,4,2,2400000.0
593, Balneário Camboriú ,Centro , SC,Apartamento,130.0,3,1,2,1,1450000.0
594, Itajaí ,Balneário Santa Clara , SC,Apartamento,144.0,3,3,4,2,3200000.0
595, Balneário Camboriú ,Praia dos Amores , SC,Apartamento,55.0,2,2,3,1,850000.0
596, Balneário Camboriú ,Frente Mar , SC,Cobertura,340.0,4,4,5,4,5700000.0
597, Balneário Camboriú ,Pioneiros , SC,Apartamento,140.0,3,3,4,3,2900000.0
598, Itajaí ,Praia Brava , SC,Apartamento,168.0,3,3,3,3,6197040.0
599, Balneário Camboriú ,Frente Mar , SC,Apartamento,380.0,4,3,5,2,6300000.0
600, Balneário Camboriú ,Frente Mar Barra Sul , SC,Apartamento,128.0,3,3,4,2,3400000.0
601, Balneário Camboriú ,Centro , SC,Apartamento,208.0,4,4,5,2,3200000.0
602, Balneário Camboriú ,Nações , SC,Apartamento,110.0,2,1,2,1,690000.0
603, Balneário Camboriú ,Centro , SC,Apartamento,134.0,3,3,4,3,1950000.0
604, Balneário Camboriú ,Centro , SC,Apartamento,167.0,4,4,3,3,4080000.0
605, Balneário Camboriú ,Centro , SC,Apartamento,167.0,4,4,5,3,4080000.0
606, Balneário Camboriú ,Centro , SC,Cobertura,257.0,3,3,3,3,4850000.0
607, Balneário Camboriú ,Centro , SC,Apartamento,128.78,3,3,3,2,2650000.0
608, Balneário Camboriú ,Centro , SC,Apartamento,128.44,3,3,3,2,2530000.0
609, Balneário Camboriú ,Centro , SC,Cobertura,269.0,4,4,4,3,4750000.0
610, Balneário Camboriú ,Centro , SC,Apartamento,170.0,4,4,4,3,5200000.0
611, Balneário Camboriú ,Centro , SC,Cobertura,352.99,4,4,4,4,3650000.0
612, Balneário Camboriú ,Centro , SC,Apartamento,93.17,2,2,2,2,1400000.0
613, Balneário Camboriú ,Centro , SC,Apartamento,143.73,4,2,3,3,3340800.0
